file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
../adapter-removed/M81.trimmed_2.fastq	FASTQ	DNA	76806	17199238	6	223.9	224
../adapter-removed/M82.trimmed_1.fastq	FASTQ	DNA	88555	19920548	4	225.0	225
../adapter-removed/M82.trimmed_2.fastq	FASTQ	DNA	88555	19832151	1	224.0	224
../adapter-removed/M83.trimmed_1.fastq	FASTQ	DNA	113692	25573860	5	224.9	225
../adapter-removed/M83.trimmed_2.fastq	FASTQ	DNA	113692	25462667	2	224.0	224
../adapter-removed/M84.trimmed_1.fastq	FASTQ	DNA	119319	26842469	4	225.0	225
../adapter-removed/M84.trimmed_2.fastq	FASTQ	DNA	119319	26694963	3	223.7	224
../adapter-removed/M85.trimmed_1.fastq	FASTQ	DNA	145795	32799270	1	225.0	225
../adapter-removed/M85.trimmed_2.fastq	FASTQ	DNA	145795	32649447	2	223.9	224
../adapter-removed/M86.trimmed_1.fastq	FASTQ	DNA	112876	25392715	6	225.0	225
../adapter-removed/M86.trimmed_2.fastq	FASTQ	DNA	112876	25272903	1	223.9	224
../adapter-removed/M87.trimmed_1.fastq	FASTQ	DNA	112545	25316422	2	224.9	225
../adapter-removed/M87.trimmed_2.fastq	FASTQ	DNA	112545	25201709	3	223.9	224
../adapter-removed/M88.trimmed_1.fastq	FASTQ	DNA	144625	32534388	4	225.0	225
../adapter-removed/M88.trimmed_2.fastq	FASTQ	DNA	144625	32369063	1	223.8	224
../adapter-removed/M89.trimmed_1.fastq	FASTQ	DNA	142628	32087284	2	225.0	225
../adapter-removed/M89.trimmed_2.fastq	FASTQ	DNA	142628	31934489	2	223.9	224
../adapter-removed/M9.trimmed_1.fastq	FASTQ	DNA	148677	33440810	5	224.9	225
../adapter-removed/M9.trimmed_2.fastq	FASTQ	DNA	148677	33298003	2	224.0	224
../adapter-removed/M90.trimmed_1.fastq	FASTQ	DNA	116556	26221975	5	225.0	225
../adapter-removed/M90.trimmed_2.fastq	FASTQ	DNA	116556	26102210	2	223.9	224
../adapter-removed/M91.trimmed_1.fastq	FASTQ	DNA	120473	27102683	4	225.0	225
../adapter-removed/M91.trimmed_2.fastq	FASTQ	DNA	120473	26970616	2	223.9	224
../adapter-removed/M92.trimmed_1.fastq	FASTQ	DNA	103592	23304535	1	225.0	225
../adapter-removed/M92.trimmed_2.fastq	FASTQ	DNA	103592	23195641	3	223.9	224
../adapter-removed/M93.trimmed_1.fastq	FASTQ	DNA	148597	33430761	4	225.0	225
../adapter-removed/M93.trimmed_2.fastq	FASTQ	DNA	148597	33273751	1	223.9	224
../adapter-removed/M94.trimmed_1.fastq	FASTQ	DNA	133699	30078894	4	225.0	225
../adapter-removed/M94.trimmed_2.fastq	FASTQ	DNA	133699	29941127	3	223.9	224
../adapter-removed/M95.trimmed_1.fastq	FASTQ	DNA	127422	28666354	2	225.0	225
../adapter-removed/M95.trimmed_2.fastq	FASTQ	DNA	127422	28538919	3	224.0	224
../adapter-removed/M96.trimmed_1.fastq	FASTQ	DNA	142084	31960043	4	224.9	225
../adapter-removed/M96.trimmed_2.fastq	FASTQ	DNA	142084	31790155	3	223.7	224
../adapter-removed/M97.trimmed_1.fastq	FASTQ	DNA	114213	25691406	4	224.9	225
../adapter-removed/M97.trimmed_2.fastq	FASTQ	DNA	114213	25575975	2	223.9	224
../adapter-removed/M98.trimmed_1.fastq	FASTQ	DNA	127386	28650934	4	224.9	225
../adapter-removed/M98.trimmed_2.fastq	FASTQ	DNA	127386	28521159	2	223.9	224
../adapter-removed/M99.trimmed_1.fastq	FASTQ	DNA	141477	31821443	2	224.9	225
../adapter-removed/M99.trimmed_2.fastq	FASTQ	DNA	141477	31679172	4	223.9	224
